name,type,total_sales,median_year_built,median_area,median_sale_price,median_price_sf
13067030107,tract,75,1999,1960,400000,197.1014493
13067030108,tract,82,1991.5,1933.5,378000,205.1726862
13067030109,tract,52,1998,1703,359000,227.8182104
13067030110,tract,79,1999,1976,400000,194.4837341
13067030111,tract,68,2000,1950,396500,188.0883361
13067030112,tract,36,2000,1280,305800,245.8023822
13067030113,tract,70,1999,1360,350000,249.7240618
13067030220,tract,28,1984.5,1646,376000,227.9723694
13067030233,tract,73,1991,2428,490000,199.6424315
13067030235,tract,84,1997,2741,510500,208.6452397
13067030236,tract,77,1996,3347,600000,203.3560865
13067030240,tract,100,1989,1521.5,349450,229.7798927
13067030241,tract,40,1994,2600,497500,199.8060611
13067030242,tract,60,1994,2353,433500,203.1355932
13067030243,tract,87,1981,1306,325000,212.7127127
13067030244,tract,57,1999,2795,486000,202.5862069
13067030245,tract,32,1997,2556,453250,190.2620135
13067030246,tract,51,1970,1304,275000,227.6632302
13067030247,tract,18,1992.5,1743,384250,229.9755372
13067030248,tract,42,2003,1718,426500,219.6457347
13067030249,tract,55,2004,1986,359900,196.827262
13067030250,tract,68,1992.5,3027.5,614300,225.92705
13067030251,tract,70,1994,2350.5,469250,219.1570539
13067030252,tract,53,1993,2797,495900,206.4542822
13067030253,tract,43,1999,3266,590000,214.8215504
13067030254,tract,38,1999.5,1435.5,313500,211.7345986
13067030255,tract,65,1999,1524,345000,199.9036609
13067030256,tract,61,2003,3318,680000,216.7664671
13067030257,tract,68,2004,1688,350000,206.4102564
13067030258,tract,35,1988,1396,335000,221.6666667
13067030259,tract,58,1988,1485,370000,239.8630277
13067030260,tract,57,2001,1662,364000,228.4900285
13067030261,tract,66,1999,2326,417500,193.5857982
13067030262,tract,75,1990,2052,429900,219.2982456
13067030263,tract,44,1981,1889,405500,206.9812867
13067030264,tract,32,1996.5,3110,607250,198.9850427
13067030265,tract,38,1997,2913.5,557500,211.7330334
13067030266,tract,51,1994,3134,580000,202.4238454
13067030267,tract,38,2001,2924,513450,181.4620139
13067030268,tract,59,1999,2747,520000,207.3863636
13067030269,tract,57,2000,2026,419900,196.1297071
13067030270,tract,58,1989,2354.5,428100,189.1125879
13067030271,tract,26,1995,2185,435000,193.9122771
13067030272,tract,32,1985,1593,387500,240.3789224
13067030273,tract,47,1989,2549,445000,202.5366279
13067030274,tract,59,1989,1730,360000,207.223209
13067030275,tract,20,1994,1633,355200,205.949397
13067030276,tract,59,1995,2733,550000,203.0735456
13067030277,tract,54,1997,2591,482000,195.4423447
13067030278,tract,44,1984.5,1549,267500,191.5049492
13067030319,tract,97,1981,1800,405000,240.1129944
13067030322,tract,49,1982,1953,455000,252.6132404
13067030324,tract,54,1985,1771,400000,221.4386596
13067030326,tract,53,1987,2885,680000,243.7417655
13067030327,tract,93,1978,1792,485000,247.8314746
13067030329,tract,60,1982,2089.5,449500,234.950991
13067030331,tract,73,1981,2394,615000,280.0766284
13067030332,tract,35,1979,2482,599000,256.9750367
13067030334,tract,48,1984,2532,660000,274.6391445
13067030335,tract,66,1980.5,2563,659500,274.6113061
13067030337,tract,57,1980,2384,670000,288.4615385
13067030340,tract,64,1986,2938.5,629000,237.0370244
13067030341,tract,69,1985,1808,450000,248.9177489
13067030342,tract,74,1985,2544.5,600000,248.5083922
13067030343,tract,62,1986,2679,672000,250.3227561
13067030344,tract,22,1979,1475,270000,189.1209996
13067030345,tract,34,1995,1381,299250,255.9327545
13067030346,tract,47,1980,1430,345000,244.5339471
13067030347,tract,56,1987,1907,348500,213.9851443
13067030348,tract,82,1984,1812,426250,211.4887828
13067030349,tract,62,1971.5,1645.5,407500,233.6335013
13067030350,tract,38,1976,1640,415750,242.2365626
13067030351,tract,50,1977,2657,677000,263.2385441
13067030352,tract,81,1985,3396,980000,306.3869903
13067030353,tract,65,2006,1818,511732,263.9109698
13067030354,tract,79,1986,1668,320000,238.6910491
13067030356,tract,20,2003,1556.5,442000,254.4423306
13067030357,tract,35,1977,2214,510000,267.3969072
13067030358,tract,48,1983,2384.5,621000,275.314087
13067030359,tract,80,1985,2264.5,610000,269.1798942
13067030360,tract,37,1982,2634,650000,246.8850946
13067030361,tract,66,1975.5,1661,368750,238.6264675
13067030362,tract,54,1981,2057.5,465000,229.972166
13067030363,tract,64,1984,1666,400000,239.1811955
13067030364,tract,45,1987,2232,470000,220.1112141
13067030365,tract,54,1974,2580,729500,289.1357079
13067030366,tract,37,1980,2564,625000,256.2225476
13067030367,tract,38,1976.5,1912,482500,268.2166395
13067030368,tract,41,1986,1996,502000,239.4155844
13067030369,tract,41,1995,3046,850000,285.7829011
13067030370,tract,35,1985,2814,799000,290.6330989
13067030405,tract,127,1973,1426,262500,204.2553191
13067030407,tract,91,1961,1527,395000,246.5625
13067030408,tract,47,1972,1784,455000,247.8448276
13067030409,tract,59,1977,2223,515000,238.0952381
13067030410,tract,40,1972.5,2164,450000,235.131397
13067030411,tract,6,1967.5,1206,227000,197.6521091
13067030412,tract,31,1973,1297,207500,164.8671096
13067030413,tract,40,1981,1264,243750,194.0250885
13067030505,tract,29,1962,1202,315000,235.9022556
13067030506,tract,70,1964,1507,306000,227.0594388
13067030507,tract,104,1983.5,1670,403250,229.868509
13067030508,tract,46,1984,1588.5,423000,251.4005602
13067030509,tract,75,1995,2339,490000,215.8273381
13067030510,tract,31,1986,1492,330000,207.7747989
13067030511,tract,94,1984.5,1416,317500,237.0536954
13067030602,tract,116,1985.5,1830,506500,267.3680241
13067030603,tract,46,2003.5,2103,430250,206.0439143
13067030604,tract,49,2004,1595,320000,206.6115702
13067030700,tract,86,1962,1620,439000,267.7643303
13067030800,tract,69,2006,1532,410000,277.3667988
13067030906,tract,40,1984.5,2362.5,477500,198.5894498
13067030907,tract,87,1983,1803,395000,208.750835
13067030908,tract,34,1989.5,1675,339000,191.9535867
13067030909,tract,27,1968,1428,325000,200.845666
13067030910,tract,57,1985,1264,235000,178.7271142
13067030911,tract,35,1978,1440,195000,187.0748299
13067030912,tract,85,1974,1775,439000,232.9113924
13067031001,tract,90,1950,1246,252250,196.0608039
13067031004,tract,61,1961,1266,282500,200.6392045
13067031005,tract,96,1968,1426.5,297500,210.6467245
13067031006,tract,26,1956.5,1119.5,288500,241.0200846
13067031007,tract,51,2012,1922,385000,189.234651
13067031101,tract,94,1957.5,1484.5,455000,284.2588446
13067031110,tract,80,1953,1302.5,346180,285.2329675
13067031111,tract,104,1987,1382,330000,234.0942314
13067031112,tract,97,1986,1866,535000,271.4285714
13067031113,tract,12,2010.5,1993,425000,206.1272402
13067031114,tract,42,1981.5,1278,320000,235.6734155
13067031115,tract,83,1967,1350,375000,250.410509
13067031116,tract,89,1984,1376,345000,229.2328643
13067031117,tract,73,1977,2012,510000,248.191569
13067031118,tract,106,1982,1706,459000,248.8020084
13067031119,tract,67,1973,1517,325000,209.3023256
13067031120,tract,82,1992,1693,355000,214.420395
13067031121,tract,43,1983,1404,284000,221.9188768
13067031122,tract,73,1985,1417,372000,230.0347222
13067031207,tract,66,1975,1452,340000,248.764864
13067031209,tract,105,1998,3016,688940,247.3326867
13067031212,tract,42,1982.5,2615,766750,257.28604
13067031213,tract,44,2002,1827,386250,229.8475107
13067031214,tract,69,2003,1920,429900,224.6376812
13067031215,tract,76,2011,2244,532450,226.8785429
13067031216,tract,23,2015,2660,711000,273.7262507
13067031217,tract,46,1981,1527,335000,224.6847121
13067031218,tract,34,2008,2006,678163.5,331.2512076
13067031219,tract,32,2019,1540,466250,287.9637941
13067031220,tract,50,1985,1656,398625,240.2587586
13067031221,tract,62,2003,2419,480500,218.6851093
13067031306,tract,100,1965.5,1433.5,257400,193.7210951
13067031308,tract,69,1963,1394,260000,200.8569898
13067031314,tract,119,2004,2230,425000,194.6721311
13067031315,tract,68,2001,3056,597000,220.1271203
13067031316,tract,73,2006,2306,450000,201.6478751
13067031317,tract,81,1963,1416,260000,196.2209302
13067031318,tract,39,2000,1570,200000,168.3579336
13067031319,tract,62,2000,1437.5,246800,173.6802121
13067031320,tract,21,1987,1580,247000,157.4025974
13067031321,tract,1,1960,1374,312500,227.4381368
13067031322,tract,56,1990,1494,253950,177.934163
13067031323,tract,61,1964,1181,230000,166.5454545
13067031324,tract,96,1969.5,1418,294828,209.9260207
13067031325,tract,43,1981,1960,408500,210.5978261
13067031409,tract,108,1989.5,1504,271750,174.6527733
13067031410,tract,71,1988,1972,327500,185.5813953
13067031411,tract,64,1984,1486,278600,210.8607037
13067031412,tract,65,1973,1233,255000,198.4797297
13067031413,tract,31,1999,1508,309200,190.1669759
13067031414,tract,72,1972,1917,341500,178.7184686
13067031415,tract,42,1970.5,1456,287500,194.8400067
13067031416,tract,63,1999,1420,270000,171.6054843
13067031417,tract,39,1970,1308,261000,189.0519187
13067031506,tract,111,1985,1600,299000,194.6107784
13067031507,tract,63,1993,1382,237000,193.3566434
13067031510,tract,47,1987,1296,320000,221.72949
13067031511,tract,84,1999,2217,372000,174.9399541
13067031512,tract,95,1998,1747,311125,185.1851852
13067031513,tract,87,1995,1556,325000,198.8155668
13067031514,tract,54,1991,1654,313750,191.4307308
13067031515,tract,81,1993,1861,337000,189.1821946
13067031516,tract,34,1993,1593,348000,195.7402561
13067031517,tract,40,1986,1596,372450,203.3225421
13067031518,tract,33,1991,1534,340000,191.4182939
13089020100,tract,14,1946,1951,904450,475.629827
13089020200,tract,50,1972,2098.5,759750,362.1279472
13089020300,tract,48,1953.5,1934.5,769000,385.4407579
13089020400,tract,33,1961,1124,530000,380.3641092
13089020500,tract,83,1950,1496,560000,345.5882353
13089020600,tract,62,2003,1354,441500,359.5051265
13089020700,tract,48,1990,1694,525061,356.1809516
13089020801,tract,58,1950,1835,639500,368.2210786
13089020802,tract,70,1947,1732.5,632500,323.3446881
13089020901,tract,66,1941,1407,455000,323.3029121
13089020902,tract,44,1953,1397.5,420900,310.4506802
13089021101,tract,49,1977,3156,1017000,363.372093
13089021103,tract,47,1988,2299,730000,346.2566845
13089021104,tract,31,1995,1160,327680,282.4827586
13089021204,tract,1,1950,1231,495000,402.112104
13089021208,tract,70,1966,1348,439500,320.1319191
13089021210,tract,66,1971,2615,697500,273.8963648
13089021211,tract,69,1972,2332,602985,259.8425197
13089021213,tract,36,1978,3172.5,849500,298.8461264
13089021217,tract,16,1967,2453.5,640000,267.3775885
13089021219,tract,79,1982,2079,615000,293.4652278
13089021220,tract,45,1978,2279,606000,272.4879333
13089021221,tract,54,1984,1916,592500,319.2308845
13089021222,tract,28,1959,2135,663412,345.2740274
13089021223,tract,13,2000,2295,675000,293.9443535
13089021224,tract,36,1982,1355,312000,238.1389549
